ID;Addor Jean-Luc;Aebi Andreas;Aebischer Matthias;Amaudruz Céline;Ammann Thomas;Arslan Sibel;Badran Jacqueline;Barrile Angelo;Bauer Philippe;Bäumle Martin;Béglé Claude;Bertschy Kathrin;Bigler Hans-Ulrich;Birrer-Heimo Prisca;Bourgeois Jacques;Brand Heinz;Brélaz Daniel;Buffat Michaël;Bühler Manfred;Bulliard-Marbach Christine;Burgherr Thomas;Burkart Thierry;Campell Duri;Candinas Martin;Carobbio Guscetti Marina;Chevalley Isabelle;Chiesa Marco;de Courten Thomas;de la Reussille Denis;Dettling Marcel;Dobler Marcel;Estermann Yvette;Eymann Christoph;Fehlmann Rielle Laurence;Feri Yvonne;Fiala Doris;Flach Beat;Fluri Kurt;Frehner Sebastian;Fridez Pierre-Alain;Friedl Claudia;Geissbühler Andrea Martina;Girod Bastien;Glanzmann-Hunkeler Ida;Glarner Andreas;Glättli Balthasar;Gmür Alois;Gmür-Schönenberger Andrea;Golay Roger;Gössi Petra;Graf Maya;Graf-Litscher Edith;Grin Jean-Pierre;Grossen Jürg;Grunder Hans;Grüter Franz;Gschwind Jean-Paul;Guhl Bernhard;Gysi Barbara;Hadorn Philipp;Hardegger Thomas;Heer Alfred;Herzog Verena;Hess Erich;Hess Lorenz;Humbel Ruth;Hurter Thomas;Imark Christian;Jans Beat;Jauslin Matthias Samuel;Keller-Inhelder Barbara;Knecht Hansjörg;Landolt Martin;Lohr Christian;Lüscher Christian;Markwalder Christa;Marra Ada;Marti Min Li;Masshardt Nadine;Matter Thomas;Mazzone Lisa;Meyer Mattea;Moser Tiana Angelina;Müller Leo;Müller-Altermatt Stefan;Munz Martina;Müri Felix;Naef Martin;Nantermod Philippe;Nicolet Jacques;Nidegger Yves;Nordmann Roger;Nussbaumer Eric;Page Pierre-André;Pantani Roberta;Pardini Corrado;Pieren Nadja;Piller Carrard Valérie;Portmann Hans-Peter;Quadranti Rosmarie;Quadri Lorenzo;Regazzi Fabio;Reimann Lukas;Reimann Maximilian;Reynard Mathias;Riklin Kathy;Rime Jean-François;Ritter Markus;Romano Marco;Rösti Albert;Ruppen Franz;Rutz Gregor;Rytz Regula;Salzmann Werner;Sauter Regine;Schilliger Peter;Schneeberger Daniela;Schneider-Schneiter Elisabeth;Schwander Pirmin;Seiler Graf Priska;Sollberger Sandra;Steinemann Barbara;Streiff-Feller Marianne;Thorens Goumaz Adèle;Vitali Albert;Vogt Hans-Ueli;von Siebenthal Erich;Walliser Bruno;Walti Beat;Wasserfallen Christian;Wehrli Laurent;Wermuth Cédric;Wobmann Walter;Zanetti Claudio
14.3880;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja;Hat nicht teilgenommen;Ja;Nein;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Hat nicht teilgenommen;Ja;Ja;Hat nicht teilgenommen;Ja;Nein;Nein;Hat nicht teilgenommen;Nein;Ja;Hat nicht teilgenommen;Nein;Nein;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Der Präsident stimmt nicht;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Enthaltung;Nein;Ja;Nein;Ja;Hat nicht teilgenommen;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Enthaltung;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Entschuldigt;Ja;Nein;Ja;Ja;Nein;Hat nicht teilgenommen;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Hat nicht teilgenommen;Ja;Ja
14.3890;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja;Hat nicht teilgenommen;Ja;Ja;Ja;Nein;Ja;Ja;Hat nicht teilgenommen;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Der Präsident stimmt nicht;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Enthaltung;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Hat nicht teilgenommen;Ja;Hat nicht teilgenommen;Hat nicht teilgenommen;Ja;Nein;Nein;Ja;Hat nicht teilgenommen;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Hat nicht teilgenommen;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Hat nicht teilgenommen;Nein;Ja;Entschuldigt;Nein;Hat nicht teilgenommen;Ja;Ja;Nein;Ja;Nein;Ja;Ja;Hat nicht teilgenommen;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Hat nicht teilgenommen;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja;Hat nicht teilgenommen;Ja;Nein;Hat nicht teilgenommen;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Ja
14.3895;Nein;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Hat nicht teilgenommen;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Entschuldigt;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Der Präsident stimmt nicht;Entschuldigt;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Nein;Hat nicht teilgenommen;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Hat nicht teilgenommen;Hat nicht teilgenommen;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Entschuldigt;Nein;Nein;Nein;Ja;Hat nicht teilgenommen;Nein
14.3899;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Hat nicht teilgenommen;Ja;Nein;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Hat nicht teilgenommen;Ja;Nein;Hat nicht teilgenommen;Ja;Nein;Nein;Hat nicht teilgenommen;Nein;Nein;Hat nicht teilgenommen;Nein;Nein;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Enthaltung;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Enthaltung;Ja;Nein;Nein;Nein;Ja;Nein;Ja;Enthaltung;Der Präsident stimmt nicht;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Hat nicht teilgenommen;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Entschuldigt;Ja;Nein;Ja;Ja;Nein;Hat nicht teilgenommen;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Hat nicht teilgenommen;Ja;Ja
14.3904;Nein;Nein;Ja;Nein;Entschuldigt;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Enthaltung;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Enthaltung;Hat nicht teilgenommen;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Nein;Enthaltung;Ja;Nein;Nein;Enthaltung;Ja;Nein;Nein;Hat nicht teilgenommen;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Enthaltung;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Nein;Der Präsident stimmt nicht;Ja;Ja;Ja;Nein;Enthaltung;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Enthaltung;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Enthaltung;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein
14.3906;Nein;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Nein;Hat nicht teilgenommen;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Hat nicht teilgenommen;Nein;Nein;Hat nicht teilgenommen;Nein;Ja;Ja;Hat nicht teilgenommen;Nein;Nein;Hat nicht teilgenommen;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Hat nicht teilgenommen;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Der Präsident stimmt nicht;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Hat nicht teilgenommen;Nein;Hat nicht teilgenommen;Hat nicht teilgenommen;Hat nicht teilgenommen;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Entschuldigt;Nein;Ja;Nein;Nein;Nein;Hat nicht teilgenommen;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Hat nicht teilgenommen;Nein;Nein
14.3928;Nein;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Ja;Hat nicht teilgenommen;Ja;Ja;Nein;Nein;Ja;Nein;Nein;Hat nicht teilgenommen;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Nein;Nein;Der Präsident stimmt nicht;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Entschuldigt;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein
14.3929;Nein;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Hat nicht teilgenommen;Nein;Ja;Nein;Hat nicht teilgenommen;Hat nicht teilgenommen;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Hat nicht teilgenommen;Nein;Hat nicht teilgenommen;Hat nicht teilgenommen;Entschuldigt;Ja;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Hat nicht teilgenommen;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Der Präsident stimmt nicht;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Hat nicht teilgenommen;Nein;Ja;Nein;Nein;Nein;Nein;Hat nicht teilgenommen;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Hat nicht teilgenommen;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Hat nicht teilgenommen;Nein;Ja;Nein;Nein
14.3947;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Hat nicht teilgenommen;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Entschuldigt;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Der Präsident stimmt nicht;Entschuldigt;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Hat nicht teilgenommen;Hat nicht teilgenommen;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Entschuldigt;Ja;Ja;Ja;Nein;Hat nicht teilgenommen;Ja
14.3948;Nein;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Enthaltung;Nein;Ja;Nein;Nein;Hat nicht teilgenommen;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Hat nicht teilgenommen;Nein;Hat nicht teilgenommen;Hat nicht teilgenommen;Entschuldigt;Ja;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Nein;Enthaltung;Ja;Ja;Ja;Hat nicht teilgenommen;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Der Präsident stimmt nicht;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Enthaltung;Ja;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Hat nicht teilgenommen;Nein;Ja;Nein;Enthaltung;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Hat nicht teilgenommen;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein
14.3955;Nein;Nein;Ja;Nein;Nein;Enthaltung;Nein;Nein;Ja;Nein;Ja;Nein;Nein;Nein;Ja;Nein;Hat nicht teilgenommen;Nein;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Ja;Nein;Enthaltung;Hat nicht teilgenommen;Nein;Hat nicht teilgenommen;Hat nicht teilgenommen;Entschuldigt;Nein;Nein;Enthaltung;Nein;Nein;Enthaltung;Nein;Nein;Nein;Ja;Enthaltung;Nein;Nein;Nein;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Hat nicht teilgenommen;Nein;Nein;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Ja;Der Präsident stimmt nicht;Nein;Hat nicht teilgenommen;Nein;Nein;Enthaltung;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Hat nicht teilgenommen;Nein;Enthaltung;Ja;Ja;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Enthaltung;Nein;Ja;Hat nicht teilgenommen;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Enthaltung;Enthaltung;Nein;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein
14.3974;Nein;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Nein;Hat nicht teilgenommen;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Hat nicht teilgenommen;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Hat nicht teilgenommen;Nein;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Hat nicht teilgenommen;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Entschuldigt;Nein;Nein;Hat nicht teilgenommen;Nein;Nein;Nein;Ja;Nein;Nein;Hat nicht teilgenommen;Nein;Nein;Nein;Der Präsident stimmt nicht;Ja;Ja;Ja;Nein;Ja;Hat nicht teilgenommen;Nein;Nein;Nein;Ja;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Hat nicht teilgenommen;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Entschuldigt;Nein;Ja;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Hat nicht teilgenommen;Nein;Nein
14.3975;Nein;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Hat nicht teilgenommen;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Hat nicht teilgenommen;Nein;Hat nicht teilgenommen;Hat nicht teilgenommen;Entschuldigt;Ja;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Enthaltung;Nein;Nein;Nein;Nein;Enthaltung;Ja;Ja;Ja;Hat nicht teilgenommen;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Der Präsident stimmt nicht;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Nein;Hat nicht teilgenommen;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Ja;Nein;Nein;Nein;Enthaltung;Nein;Ja;Nein;Nein;Hat nicht teilgenommen;Nein;Nein;Nein;Ja;Nein;Nein;Enthaltung;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein
14.3976;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Hat nicht teilgenommen;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Entschuldigt;Ja;Ja;Ja;Nein;Ja;Ja;Ja;Nein;Ja;Ja;Der Präsident stimmt nicht;Entschuldigt;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Ja;Nein;Enthaltung;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Hat nicht teilgenommen;Hat nicht teilgenommen;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Entschuldigt;Ja;Ja;Ja;Nein;Hat nicht teilgenommen;Ja
14.3980;Nein;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Enthaltung;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Enthaltung;Nein;Nein;Nein;Hat nicht teilgenommen;Ja;Nein;Nein;Nein;Ja;Nein;Nein;Hat nicht teilgenommen;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Der Präsident stimmt nicht;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Ja;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Entschuldigt;Nein;Ja;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein
14.3993;Nein;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Hat nicht teilgenommen;Ja;Nein;Nein;Nein;Ja;Nein;Nein;Hat nicht teilgenommen;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Der Präsident stimmt nicht;Ja;Enthaltung;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Entschuldigt;Nein;Ja;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein
14.3995;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Hat nicht teilgenommen;Ja;Nein;Nein;Nein;Nein;Ja;Nein;Ja;Hat nicht teilgenommen;Ja;Ja;Nein;Ja;Ja;Enthaltung;Nein;Ja;Ja;Nein;Ja;Nein;Ja;Enthaltung;Nein;Enthaltung;Hat nicht teilgenommen;Enthaltung;Enthaltung;Ja;Nein;Nein;Ja;Nein;Ja;Ja;Nein;Hat nicht teilgenommen;Nein;Ja;Nein;Nein;Enthaltung;Ja;Nein;Ja;Ja;Ja;Ja;Enthaltung;Nein;Nein;Entschuldigt;Ja;Ja;Hat nicht teilgenommen;Ja;Ja;Ja;Nein;Nein;Ja;Hat nicht teilgenommen;Ja;Ja;Nein;Der Präsident stimmt nicht;Nein;Nein;Nein;Ja;Nein;Hat nicht teilgenommen;Nein;Ja;Ja;Nein;Ja;Enthaltung;Enthaltung;Ja;Ja;Nein;Nein;Ja;Ja;Enthaltung;Ja;Nein;Hat nicht teilgenommen;Ja;Ja;Ja;Ja;Ja;Nein;Nein;Ja;Ja;Ja;Ja;Ja;Ja;Nein;Ja;Nein;Enthaltung;Nein;Entschuldigt;Ja;Enthaltung;Ja;Ja;Ja;Nein;Enthaltung;Ja;Ja;Ja;Nein;Enthaltung;Nein;Hat nicht teilgenommen;Ja;Ja
14.4013;Nein;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Hat nicht teilgenommen;Ja;Nein;Nein;Nein;Ja;Nein;Nein;Hat nicht teilgenommen;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Enthaltung;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Enthaltung;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Der Präsident stimmt nicht;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Ja;Nein;Nein;Nein;Hat nicht teilgenommen;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Enthaltung;Nein;Nein;Entschuldigt;Nein;Ja;Nein;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein
14.4024;Nein;Nein;Nein;Nein;Nein;Nein;Enthaltung;Nein;Ja;Ja;Nein;Ja;Ja;Nein;Ja;Nein;Hat nicht teilgenommen;Nein;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Enthaltung;Nein;Nein;Ja;Nein;Ja;Hat nicht teilgenommen;Enthaltung;Hat nicht teilgenommen;Ja;Hat nicht teilgenommen;Hat nicht teilgenommen;Entschuldigt;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Hat nicht teilgenommen;Nein;Nein;Ja;Nein;Enthaltung;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Ja;Der Präsident stimmt nicht;Nein;Nein;Nein;Enthaltung;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Hat nicht teilgenommen;Enthaltung;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Enthaltung;Ja;Hat nicht teilgenommen;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein
14.4025;Nein;Nein;Ja;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Hat nicht teilgenommen;Ja;Nein;Nein;Nein;Ja;Nein;Nein;Hat nicht teilgenommen;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Nein;Ja;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Der Präsident stimmt nicht;Ja;Ja;Ja;Nein;Ja;Ja;Nein;Nein;Nein;Ja;Nein;Ja;Nein;Nein;Nein;Ja;Ja;Nein;Nein;Ja;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Entschuldigt;Nein;Ja;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein
